Level	Starting Lives	Lives
270	98	1
271	99	0
272	99	0
273	99	0
274	99	-1
275	98	1
276	99	0
277	99	0
278	99	-1
279	98	1
280	99	0
281	99	0
282	99	0
283	99	0
284	99	0
285	99	-1
286	98	0
287	98	0
288	98	1
289	99	0
290	99	0
291	99	0
292	99	0
293	99	0
294	99	0
295	99	0
296	99	0
297	99	0
298	99	0
299	99	0
300	99	0
301	99	0
302	99	0
303	99	0
304	99	0
305	99	0
306	99	-1
307	98	0
308	98	1
309	99	0
310	99	0
311	99	0
312	99	-1
313	98	1
314	99	-4
317	98	-1
318	97	0
319	97	2
320	99	0
321	99	0
322	99	0
323	99	0
324	99	0
325	99	0
326	99	0
327	99	-1
328	98	1
329	99	0
330	99	0
331	99	-3
334	98	-2
337	98	0
338	98	1
339	99	0
340	99	0
341	99	-4
344	97	0
345	97	0
346	97	1
347	98	-1
348	97	2
349	99	0
350	99	0
351	99	-3
354	97	0
355	97	-4
362	97	2
363	99	0
364	99	0
365	99	0
366	99	0
367	99	0
368	99	0
369	99	0
370	99	-3
373	98	1
374	99	-1
375	98	-1
376	97	1
377	98	0
378	98	0
379	98	1
380	99	0
381	99	-1
382	98	1
383	99	0
384	99	-2
385	97	-1
387	98	-1
388	97	0
389	97	2
390	99	0
391	99	-2
392	97	2
393	99	0
394	99	0
395	99	0
396	99	0
397	99	-1
398	98	1
399	99	0
400	99	-2
401	97	0
402	97	-1
406	97	1
407	98	1
408	99	0
409	99	-1
410	98	1
411	99	0
412	99	0
413	99	0
414	99	-2
415	97	0
416	97	-1
418	98	1
419	99	0
420	99	-1
421	98	1
422	99	-4
424	97	1
425	98	0
426	98	1
427	99	0
428	99	0
429	99	0
430	99	0
431	99	0
432	99	0
433	99	0
434	99	0
435	99	0
436	99	0
437	99	-4
440	98	-1
441	97	2
442	99	0
443	99	-2
444	97	-2
446	98	0
447	98	1
448	99	0
449	99	0
450	99	0
451	99	-1
452	98	0
453	98	1
454	99	-1
455	98	0
456	98	0
457	98	1
458	99	0
459	99	0
460	99	-1
461	98	1
462	99	0
463	99	0
464	99	0
465	99	0
466	99	0
467	99	-8
472	97	2
473	99	0
474	99	-1
475	98	-24
537	98	1
538	99	-3
540	97	0
541	97	2
542	99	0
543	99	0
544	99	-5
549	98	1
550	99	0
551	99	0
552	99	0
553	99	0
554	99	-8
564	99	0
565	99	0
566	99	-1
567	98	1
568	99	0
569	99	-1
570	98	-2
578	97	-3
584	97	2
585	99	0
586	99	-1
587	98	-2
595	99	0
596	99	0
597	99	0
598	99	0
599	99	0
600	99	0
601	99	0
602	99	0
603	99	-1
604	98	1
605	99	-1
606	98	-7
623	99	0
624	99	0
625	99	0
626	99	-3
628	97	2
629	99	-3
632	99	0
633	99	0
634	99	0
635	99	-1
636	98	-4
639	98	1
640	99	0
641	99	0
642	99	-2
643	97	-3
645	97	-3
647	97	2
648	99	0
649	99	0
650	99	0
651	99	0
652	99	0
653	99	-3
658	98	1
659	99	-1
660	98	1
661	99	0
662	99	0
663	99	-1
664	98	-3
666	98	0
667	98	1
668	99	0
669	99	0
670	99	0
671	99	-1
672	98	-2
674	97	1
675	98	-1
676	97	-1
678	98	-1
679	97	0
680	97	-3
715	97	2
716	99	0
717	99	0
718	99	0
719	99	0
720	99	0
721	99	0
722	99	0
723	99	0
724	99	0
725	99	0
726	99	0
727	99	-1
728	98	-1
729	97	-5
739	99	0
740	99	-1
741	98	-2
744	98	-1
745	97	-1
747	99	0
748	99	-1
749	98	1
750	99	-4
754	97	-1
773	97	2
774	99	0
775	99	0
776	99	0
777	99	-1
778	98	0
779	98	1
780	99	0
781	99	0
782	99	0
783	99	0
784	99	0
785	99	0
786	99	-2
787	97	-2
816	97	2
817	99	0
818	99	0
819	99	0
820	99	0
821	99	0
822	99	-1
823	98	1
824	99	0
825	99	0
826	99	0
827	99	-3
829	98	-3
834	97	-1
836	98	0
837	98	1
838	99	0
839	99	0
840	99	0
841	99	0
842	99	0
843	99	0
844	99	0
845	99	0
846	99	0
847	99	0
848	99	0
849	99	0
850	99	0
851	99	-8
883	97	2
884	99	0
885	99	0
886	99	0
887	99	0
888	99	-4
