Level	Lives
1	0
2	3
3	0
4	2
5	0
6	0
7	3
8	-15
9	-1
10	-1
11	3
12	-2
13	-2
14	1
15	1
16	1
17	3
18	2
19	1
20	-1
21	3
22	-2
23	1
24	-1
25	2
26	0
27	0
28	1
29	1
30	1
31	1
32	3
33	0
34	-1
35	3
36	-3
37	1
38	3
39	0
40	-2
41	2
42	0
43	0
44	0
45	-4
46	-1
47	0
48	-2
49	-2
50	0
51	1
52	1
53	2
54	0
55	2
56	-11
57	3
58	1
1	-1
2	0
3	3
4	1
5	1
6	2
7	0
8	3
9	-1
10	0
11	3
12	1
13	-1
14	3
15	1
16	-2
17	1
18	1
19	0
20	-2
21	0
22	-2
23	-1
24	1
25	0
26	1
27	3
28	3
29	-5
30	1
31	1
32	1
33	-4
34	2
35	2
36	1
37	-1
38	3
39	0
40	2
41	-2
42	2
43	0
44	-1
45	0
46	3
47	1
48	-13
49	0
50	3
51	0
52	2
53	3
54	-4
55	0
56	0
57	-1
58	3
59	-1
60	3
61	2
62	-1
63	-4
64	0
65	1
66	0
67	0
68	0
69	1
70	0
71	0
72	2
73	1
74	3
75	-3
76	-1
77	-15
78	0
79	2
80	0
81	-9
82	1
83	2
84	3
85	3
86	3
87	0
88	3
89	0
90	3
91	3
92	-19
93	2
94	3
95	-1
96	-1
97	3
98	-3
99	1
100	-6
101	0
102	0
103	1
104	0
105	1
106	0
107	-2
108	2
109	3
110	3
111	1
112	3
113	2
114	0
115	-1
116	-1
117	-2
118	-1
119	2
120	-1
121	-1
122	1
123	-1
124	-2
125	0
126	-5
127	0
128	2
129	1
130	-2
131	2
132	-1
133	-1
134	2
135	0
136	3
137	-8
138	1
139	3
140	3
141	2
142	2
143	3
144	2
145	3
146	2
147	0
148	3
149	1
150	1
151	2
152	-8
153	2
154	2
155	2
156	-4
157	3
158	3
159	0
160	0
161	2
162	3
163	-1
164	3
165	-2
166	1
167	2
168	0
169	0
170	0
171	0
172	0
173	0
174	3
175	2
176	0
177	3
178	-1
179	1
180	3
181	2
182	1
183	2
184	0
185	3
186	0
187	1
188	-4
189	2
190	3
191	-2
192	-2
193	3
194	1
195	3
196	1
197	0
198	2
199	0
200	1
201	2
202	-7
203	1
204	1
205	2
206	-4
207	3
208	-1
209	0
210	0
211	2
212	2
213	3
214	1
215	1
216	0
217	-2
218	3
219	-1
220	-12
221	1
222	-3
223	-5
224	-2
225	0
226	0
227	1
228	3
229	3
230	-1
231	-1
232	2
233	0
234	-1
235	0
236	3
237	2
238	2
239	1
240	0
241	1
242	1
243	1
244	3
245	2
246	2
247	3
248	2
249	-3
250	1
251	-6
252	1
253	3
254	0
255	2
256	1
257	0
258	1
259	-1
260	2
261	1
262	1
263	1
264	0
265	-3
266	-2
267	3
268	3
269	2
315	1
316	2
332	-1
333	3
335	0
336	2
342	1
343	1
352	-1
353	2
356	2
357	1
358	0
359	-1
360	1
361	1
371	-1
372	3
386	2
403	-1
404	-1
405	3
417	2
423	2
438	1
439	2
445	3
468	0
469	2
470	2
471	2
476	1
477	-3
478	3
479	0
480	3
481	2
482	0
483	0
484	0
485	-1
486	0
487	2
488	-5
489	3
490	1
491	1
492	3
493	1
494	2
495	1
496	0
497	-8
498	-3
499	3
500	-1
501	0
502	0
503	1
504	-1
505	1
506	3
507	0
508	2
509	-1
510	2
511	-3
512	-2
513	-2
514	0
515	1
516	1
517	3
518	0
519	-4
520	-2
521	1
522	1
523	2
524	0
525	3
526	3
527	3
528	1
529	1
530	2
531	1
532	-2
533	-2
534	0
535	3
536	3
539	1
545	2
546	-1
547	0
548	3
555	2
556	2
557	-5
558	2
559	1
560	1
561	1
562	1
563	3
571	-8
572	3
573	2
574	1
575	1
576	0
577	2
579	-1
580	0
581	0
582	3
583	1
588	-1
589	1
590	0
591	-1
592	0
593	1
594	3
607	-1
608	2
609	-1
610	-3
611	0
612	-3
613	0
614	1
615	2
616	1
617	2
618	3
619	-1
620	1
621	2
622	3
627	1
630	0
631	3
637	2
638	2
644	3
646	3
654	0
655	-1
656	0
657	3
665	3
673	1
677	2
681	-2
682	-1
683	-3
684	2
685	3
686	0
687	-1
688	3
689	-2
690	-1
691	-2
692	1
693	1
694	0
695	2
696	0
697	2
698	0
699	0
700	-8
